,title,overview,len,ger
82,Miami Vice,Miami Vice is a feature film based on the 1980's action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,212,"Miami Vice ist ein Spielfilm, der auf der Action-Drama-Fernsehserie aus den 1980er Jahren basiert. Der Film erzählt die Geschichte der Sittenpolizisten Crockett und Tubbs und wie sich ihr Privat- und Berufsleben gefährlich vermischen."
8275,American Pie Presents: The Naked Mile,"The movie will shift its focus on Erik Stifler, the cousin of Matt and Steve, a youngster who is nothing like his wild relations. Peer pressure starts to turn him to live up to the legacy of the other Stiflers when he attends the Naked Mile, a naked run across the college campus. Things get worse when he finds that his cousin Dwight is the life of the party down at the campus",378,"Im Mittelpunkt des Films steht Erik Stifler, der Cousin von Matt und Steve, ein Jugendlicher, der ganz anders ist als seine wilden Verwandten. Der Gruppenzwang zwingt ihn, dem Erbe der anderen Stiflers gerecht zu werden, als er an der Nackten Meile teilnimmt, einem Nacktlauf über den College-Campus. Die Dinge werden noch schlimmer, als er herausfindet, dass sein Cousin Dwight der Mittelpunkt der Party auf dem Campus ist."
85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",227,"Als Dr. Indiana Jones - der Professor im Tweed-Anzug, der zufällig ein berühmter Archäologe ist - von der Regierung beauftragt wird, die legendäre Bundeslade zu finden, muss er sich mit dem gesamten Nazi-Regime anlegen."
4474,My Super Ex-Girlfriend,"When New York architect Matt Saunders dumps his new girlfriend Jenny Johnson - a smart, sexy and reluctant superhero known as G-Girl - she uses her powers to make his life a living hell!",186,"Als der New Yorker Architekt Matt Saunders seine neue Freundin Jenny Johnson - eine kluge, sexy und widerwillige Superheldin, bekannt als G-Girl - verlässt, nutzt sie ihre Kräfte, um ihm das Leben zur Hölle zu machen!"
87,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees, and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",203,"Nach seiner Ankunft in Indien wird Indiana Jones von einem verzweifelten Dorf gebeten, einen mystischen Stein zu finden. Er willigt ein und stößt auf einen geheimen Kult, der in den Katakomben eines alten Palastes einen schrecklichen Plan schmiedet."
88,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances ""Baby"" Houseman is surprised to find herself stepping into the shoes of a professional hoofer -- and unexpectedly falling in love. The object of her affection? The resort's free-spirited dance instructor.",311,"In Erwartung der üblichen Langeweile, die einen Sommer in den Catskills mit ihrer Familie begleitet, ist die 17-jährige Frances ""Baby"" Houseman überrascht, als sie in die Schuhe eines professionellen Hufschmieds schlüpft - und sich unerwartet verliebt. Das Objekt ihrer Zuneigung? Die freigeistige Tanzlehrerin des Resorts."
89,Indiana Jones and the Last Crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must team up with Marcus Brody, Sallah, and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",270,"Als Dr. Henry Jones Sr. auf der Suche nach dem Heiligen Gral plötzlich verschwindet, muss sich der berühmte Archäologe Indiana Jones mit Marcus Brody, Sallah und Elsa Schneider zusammentun, um in die Fußstapfen seines Vaters zu treten und die Nazis daran zu hindern, die Macht des ewigen Lebens wiederzuerlangen."
90,Beverly Hills Cop,"Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",331,"Der knallharte Detroiter Polizist Axel Foley macht sich in seinem verbeulten Chevy Nova auf den Weg nach Beverly Hills, um den Mord an einem Freund aufzuklären. Doch schon bald stellt er fest, dass er in etwas viel Komplizierteres hineingeraten ist. Der stümperhafte Nachwuchsdetektiv Billy Rosewood schließt sich Axel an und zeigt ihm, wo es in West Los Angeles langgeht."
245775,Yves Saint Laurent,"A look at the life of French designer Yves Saint Laurent from the beginning of his career in 1958 when he met his lover and business partner, Pierre Berge.",155,"Ein Blick auf das Leben des französischen Designers Yves Saint Laurent vom Beginn seiner Karriere im Jahr 1958 an, als er seinen Geliebten und Geschäftspartner Pierre Berge kennenlernte."
8285,The Spirit,"Down these mean streets a man must come. A hero born, murdered, and born again. When a Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City, the Octopus who kills anyone unfortunate enough to see his face who has other plans. He's going to wipe out the entire city.",368,"Durch diese schlechten Straßen muss ein Mann kommen. Ein Held, geboren, ermordet und wiedergeboren. Als ein Rookie-Cop namens Denny Colt aus dem Jenseits als The Spirit zurückkehrt, ein Held, dessen Mission es ist, gegen die bösen Mächte aus den Schatten von Central City zu kämpfen, hat der Octopus, der jeden tötet, der das Pech hat, sein Gesicht zu sehen, andere Pläne. Er will die ganze Stadt auslöschen."
193893,Let's Be Cops,"It's the ultimate buddy cop movie except for one thing: they're not cops.  When two struggling pals dress as police officers for a costume party, they become neighborhood sensations.  But when these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",330,"Es ist der ultimative Buddy-Cop-Film, bis auf eine Sache: Sie sind keine Polizisten.  Als sich zwei Kumpel für eine Kostümparty als Polizisten verkleiden, werden sie zu Sensationen in der Nachbarschaft.  Doch als sich die frischgebackenen ""Helden"" in einem Netz aus Mafiosi und korrupten Detektiven verheddern, müssen sie ihre gefälschten Dienstmarken aufs Spiel setzen."
96,Beverly Hills Cop II,"Axel Foley is back and as funny as ever in this fast-paced sequel to the original smash hit. This time, the Detroit cop heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin, and the chase is on!",370,"Axel Foley ist zurück und so witzig wie eh und je in dieser rasanten Fortsetzung des Original-Knüllers. Diesmal begibt sich der Detroiter Polizist ins Land der Sonne und der Palmen, um herauszufinden, wer Polizeihauptmann Andrew Bogomil erschossen hat. Dank einiger alter Freunde stößt Axel bei seinen Ermittlungen auf eine Reihe von Raubüberfällen, die von einem herzlosen Waffenkönig inszeniert werden - und die Jagd geht los!"
97,TRON,"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.",299,"Als Kevin Flynn nach Beweisen sucht, dass er ein erfolgreiches Videospiel erfunden hat, wird er von einem Laser ""digitalisiert"" und findet sich in The Grid wieder, wo Programme unter der tyrannischen Herrschaft des Master Control Program leiden. Mit Hilfe von TRON, einem Sicherheitsprogramm, versucht Flynn, The Grid vom MCP zu befreien."
98,Gladiator,"Gladiator is an epic film of love, death and betrayal set in the Roman Empire. General Maximus' success in battle earns the favour of an elderly Emperor at the expense of the Emperor's son. In a fit of jealous rage the son slays his father before turning his anger towards Maximus. Now reduced to a slave, his family dead, Maximus must fight as a gladiator to gain his freedom, and his revenge.",394,"Gladiator ist ein epischer Film über Liebe, Tod und Verrat, der im Römischen Reich spielt. General Maximus gewinnt durch seine Erfolge in der Schlacht die Gunst eines älteren Kaisers auf Kosten von dessen Sohn. In einem Anfall von Eifersucht erschlägt der Sohn seinen Vater, bevor er seine Wut an Maximus auslässt. Maximus ist nun ein Sklave, seine Familie ist tot, und er muss als Gladiator kämpfen, um seine Freiheit und seine Rache zu erlangen."
100,"Lock, Stock and Two Smoking Barrels","A fast paced comedy about a card sharp and his unwillingly enlisted friends, who need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door. Lots of British humor, off the wall characters, and a line up of unbelievable scenes put director Guy Ritchie on the map.",385,"Eine rasante Komödie über einen Falschspieler und seine unfreiwillig angeworbenen Freunde, die nach einem verlorenen Pokerspiel schnell eine Menge Geld verdienen müssen. Um dies zu erreichen, beschließen sie, einen Raubüberfall auf eine kleine Bande zu verüben, die zufällig in der Wohnung nebenan arbeitet. Jede Menge britischer Humor, schräge Charaktere und eine Reihe unglaublicher Szenen machten Regisseur Guy Ritchie berühmt."
101,Leon: The Professional,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",313,"Leon, der Top-Killer in New York, hat sich einen Ruf als effektiver ""Cleaner"" erworben. Doch als seine Nachbarn von einem skrupellosen DEA-Agenten ausgelöscht werden, wird er widerwillig zum Vormund der 12-jährigen Mathilda. Schon bald denkt Mathilda über Rache nach und erwägt, in Leons Fußstapfen zu treten."
103,Taxi Driver,Robert De Niro stars as Travis Bickle in this oppressive psychodrama about a Vietnam veteran who rebels against the decadence and immorality of big city life in New York while working the nightshift as a taxi driver.,216,"Robert De Niro spielt die Hauptrolle des Travis Bickle in diesem beklemmenden Psychodrama über einen Vietnam-Veteranen, der gegen die Dekadenz und die Unmoral des Großstadtlebens in New York rebelliert, während er als Taxifahrer die Nachtschicht übernimmt."
104,Run Lola Run,"Lola receives a phone call from her boyfriend Manny. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manny. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",314,"Lola erhält einen Anruf von ihrem Freund Manny. Er hat 100.000 DM in einem U-Bahn-Zug verloren, der einem üblen Typen gehört. Sie hat 20 Minuten Zeit, diesen Betrag aufzutreiben und sich mit Manny zu treffen. Andernfalls wird er einen Laden ausrauben, um das Geld zu bekommen. Drei verschiedene Alternativen können eintreten, je nach einem kleinen Ereignis auf Lolas Weg."
